Date,Flows_(Amt)_Open_ended_(Existing)_T,Flows_(Amt)_Open_ended_(Existing)_T_1,Flows_(Amt)_Open_ended_(Existing)_T_2,Flows_(Amt)_Open_ended_(Existing)_T_3,Benchmark_Returns_T,Benchmark_Returns_T_1,Benchmark_Returns_T_2,Benchmark_Returns_T_3,No_of_funds_closed_ended_(New) ,Flows_in_Open_Ended_(Amt)
Feb-13,3375,5222,4125,2777,-6.549269868,1.110192216,1.460297493,4.968274014,0,-
Jan-13,5222,4125,2777,2933,1.110192216,1.460297493,4.968274014,-1.217510279,0,-
Dec-12,4125,2777,2933,3030,1.460297493,4.968274014,-1.217510279,8.657125539,0,-
Nov-12,2777,2933,3030,3249,4.968274014,-1.217510279,8.657125539,0.403288069,1,67
Oct-12,2933,3030,3249,2881,-1.217510279,8.657125539,0.403288069,-1.148826706,0,-
Sep-12,3030,3249,2881,2869,8.657125539,0.403288069,-1.148826706,6.408080203,0,-
Aug-12,3249,2881,2869,3189,0.403288069,-1.148826706,6.408080203,-6.2472102,0,-
Jul-12,2881,2869,3189,2752,-1.148826706,6.408080203,-6.2472102,-0.904191502,2,306
Jun-12,2869,3189,2752,4337,6.408080203,-6.2472102,-0.904191502,-1.424034019,2,73
May-12,3189,2752,4337,3594,-6.2472102,-0.904191502,-1.424034019,4.702327421,1,18
Apr-12,2752,4337,3594,2784,-0.904191502,-1.424034019,4.702327421,13.3357445,0,-
Mar-12,4337,3594,2784,2859,-1.424034019,4.702327421,13.3357445,-5.530815759,0,-
Feb-12,3594,2784,2859,3173,4.702327421,13.3357445,-5.530815759,-9.555451069,1,1 3
Jan-12,2784,2859,3173,3591,13.3357445,-5.530815759,-9.555451069,5.91159079,0,-
Dec-11,2859,3173,3591,4472,-5.530815759,-9.555451069,5.91159079,-1.563998138,0,-
Nov-11,3173,3591,4472,5619,-9.555451069,5.91159079,-1.563998138,-8.776020171,2,10
Oct-11,3591,4472,5619,3676,5.91159079,-1.563998138,-8.776020171,-2.119796513,0,-
Sep-11,4472,5619,3676,4046,-1.563998138,-8.776020171,-2.119796513,0.43503805,1,24
Aug-11,5619,3676,4046,5683,-8.776020171,-2.119796513,0.43503805,-2.602482248,1,6
Jul-11,3676,4046,5683,3733,-2.119796513,0.43503805,-2.602482248,-0.136071618,0,-
Jun-11,4046,5683,3733,4469,0.43503805,-2.602482248,-0.136071618,8.566799019,1,167
May-11,5683,3733,4469,5390,-2.602482248,-0.136071618,8.566799019,-3.898410418,1,134
Apr-11,3733,4469,5390,6846,-0.136071618,8.566799019,-3.898410418,-10.46054169,0,-
Mar-11,4469,5390,6846,4637,8.566799019,-3.898410418,-10.46054169,3.095162554,2,93
Feb-11,5390,6846,4637,5476,-3.898410418,-10.46054169,3.095162554,-3.917316172,2,178
Jan-11,6846,4637,5476,4914,-10.46054169,3.095162554,-3.917316172,0.656651366,0,-
Dec-10,4637,5476,4914,5116,3.095162554,-3.917316172,0.656651366,9.529969519,3,290
